Group,Model,Accuracy
Group 15,Glucose_GB,0.39814814814814814
Group 15,Glucose_AB,0.4351851851851852
Group 15,Glucose_GNB,0.49074074074074076
Group 15,Glucose_MNB,0.12962962962962962
Group 15,Glucose_ENSEMBLE,0.42592592592592593
Group 16,BP_KNN,0.75
Group 16,BP_GB,0.7777777777777778
Group 16,BP_AB,0.6944444444444444
Group 16,BP_RF,0.7777777777777778
Group 16,BP_GNB,0.7777777777777778
Group 16,BP_MNB,0.5833333333333334
Group 16,BP_ENSEMBLE,0.7777777777777778
Group 16,Glucose_KNN,0.6111111111111112
Group 16,Glucose_RF,0.6527777777777778
Group 16,Glucose_GB,0.6388888888888888
Group 16,Glucose_AB,0.6805555555555556
Group 16,Glucose_GNB,0.7361111111111112
Group 16,Glucose_MNB,0.19444444444444445
Group 16,Glucose_ENSEMBLE,0.6527777777777778
Group 17,BP_KNN,1.0
Group 17,BP_GB,1.0
Group 17,BP_AB,1.0
Group 17,BP_RF,1.0
Group 17,BP_GNB,1.0
Group 17,BP_MNB,1.0
Group 17,BP_ENSEMBLE,1.0
Group 17,Glucose_KNN,0.9722222222222222
Group 17,Glucose_RF,0.9722222222222222
Group 17,Glucose_GB,0.9722222222222222
Group 17,Glucose_AB,0.9722222222222222
Group 17,Glucose_GNB,0.9722222222222222
Group 17,Glucose_MNB,0.5
Group 17,Glucose_ENSEMBLE,0.9722222222222222
Group 18,BP_KNN,0.5555555555555556
Group 18,BP_GB,0.5873015873015873
Group 18,BP_AB,0.47619047619047616
Group 18,BP_RF,0.5873015873015873
Group 18,BP_GNB,0.5952380952380952
Group 18,BP_MNB,0.36507936507936506
Group 18,BP_ENSEMBLE,0.6190476190476191
Group 18,Glucose_KNN,0.42857142857142855
Group 18,Glucose_RF,0.3333333333333333
Group 18,Glucose_GB,0.373015873015873
Group 18,Glucose_AB,0.4444444444444444
Group 18,Glucose_GNB,0.4444444444444444
Group 18,Glucose_MNB,0.10317460317460317
Group 18,Glucose_ENSEMBLE,0.42857142857142855
Group 19,BP_KNN,0.8611111111111112
Group 19,BP_GB,0.8333333333333334
Group 19,BP_AB,0.8055555555555556
Group 19,BP_RF,0.8333333333333334
